Subject,Chapter,Examples,Word Count,Status
Fundamental tax issues,International investment,1,1000 words,Complete
Fundamental tax issues,International income flows,1,1000 words,Complete
Fundamental tax issues,Tax treaties,2,2000 words,Complete
Fundamental tax issues,Transfer pricing,2,2000 words,Complete
Tax and fiscal regimes,Licence and concession regimes,3,3000 words,Complete
Tax and fiscal regimes,Production sharing contracts (PSCs),3,3000 words,Complete
Tax and fiscal regimes,Service contracts,3,3000 words,Complete
Tax and fiscal regimes,Royalties,3,3000 words,Complete
Tax and fiscal regimes,Indirect taxes including VAT and qualifying for exemptions,2,2000 words,Complete
Tax and fiscal regimes,Deferred tax accounting issues,1,1000 words,Complete
Country tax examples,Angola,1,1000 words,Complete
Country tax examples,Brazil,1,1000 words,Complete
Country tax examples,Indonesia,1,1000 words,Complete
Country tax examples,Iraq - technical service contracts (TSCs) and development and production service contracts (DPSCs),1,1000 words,Complete
Country tax examples,Nigeria,1,1000 words,Complete
Country tax examples,Norway,1,1000 words,Complete
Country tax examples,United Kingdom,1,1000 words,Complete
Country tax examples,United States (federal taxation),1,1000 words,Complete
Country tax examples,United States (state taxation generally - includes focus on Texas and Alaska),1,1000 words,Complete
Permanent establishments,Permanent establishments and tax treaties,2,2000 words,Complete
Permanent establishments,Operating companies,2,2000 words,Complete
Permanent establishments,Service companies,2,2000 words,Complete
Technical services,Technical services background,2,2000 words,Complete
Technical services,Structuring technical service operations,2,2000 words,Complete
Technical services,Interaction with PSCs and joint operating agreements,3,3000 words,Complete
Technical services,Withholding tax and related planning,3,3000 words,Complete
Mergers and acquisitions,Acquire target assets or target company shares,2,2000 words,Complete
Mergers and acquisitions,Interest deductions and debt push down,2,2000 words,Complete
Mergers and acquisitions,Depreciation and asset step up,2,2000 words,Complete
Mergers and acquisitions,Carry-forward tax losses,2,2000 words,Complete
Mergers and acquisitions,Sale and purchase agreements,3,3000 words,Complete
Mergers and acquisitions,Cost carry deals,3,3000 words,Complete
Mergers and acquisitions,Tax due diligence,3,3000 words,Complete
Intellectual Property (IP),IP in natural energy resources,2,2000 words,Pending
Intellectual Property (IP),Royalties,2,2000 words,Pending
Intellectual Property (IP),Transfers of IP,2,2000 words,Pending
Intellectual Property (IP),Group IP companies,2,2000 words,Pending
Leasing,Operating leasing,2,2000 words,Pending
Leasing,Leasing and tax treaties,1,1000 words,Pending
Leasing,Sale and leaseback,1,1000 words,Pending
Leasing,Group leasing companies,1,1000 words,Pending
Financing,Group treasury companies and in-house banking,2,2000 words,Pending
Financing,Thin capitalisation,1,1000 words,Pending
Financing,Controlled foreign corporations,1,1000 words,Pending
Financing,Hybrid entities and hybrid securities,1,1000 words,Pending
Profit repatriation,Subsidiaries and dividends,2,2000 words,Pending
Profit repatriation,Subsidiaries and deductible expenses,1,1000 words,Pending
Profit repatriation,Branches and profit repatriation,1,1000 words,Pending
Profit repatriation,Branches and allocation of related company expenses,2,2000 words,Pending
Trading,Group trading company,2,2000 words,Pending
Trading,Planning structures,1,1000 words,Pending
Trading,Derivatives - including options forwards and swaps,1,1000 words,Pending
Transfer pricing,Transfer pricing methods and advance pricing agreements (APAs),2,2000 words,Pending
Transfer pricing,Commodity pricing,2,2000 words,Pending
Transfer pricing,Exploration services and drilling,1,1000 words,Pending
Transfer pricing,Financial and environmental guarantees,2,2000 words,Pending
Transfer pricing,Transfer pricing and procurement,2,2000 words,Pending
Transfer pricing,Transfer pricing and trading,3,3000 words,Pending
Transfer pricing,Intellectual property,2,2000 words,Pending
Transfer pricing,Services and administration,2,2000 words,Pending
Transfer pricing,Group financing,2,2000 words,Pending
Governance of natural energy resources,Definition and characteristics: Proprietorial regime,1,1000 words,Pending
Governance of natural energy resources,Definition and characteristics: Non-proprietorial regime,1,1000 words,Pending
Governance of natural energy resources,The link between international agreements and different types of natural resource governance,2,2000 words,Pending
Governance of natural energy resources,The effects of using certain types of governance on government tax receipts,2,2000 words,Pending
Arbitration of disputes,The use of arbitration by natural energy resource companies,2,2000 words,Pending
Arbitration of disputes,Bilateral investment treaties and the Energy Charter Treaty,2,2000 words,Pending
Arbitration of disputes,Arbitration clauses in contracts,1,1000 words,Pending
Tax policy considerations of climate change,The importance of carbon pricing and carbon capture use and storage (CCUS),3,3000 words,Pending
Tax policy considerations of climate change,Design and implementation of carbon taxation,3,3000 words,Pending
Tax policy considerations of climate change,Design and implementation of emissions trading schemes (ETS),3,3000 words,Pending
Tax policy considerations of climate change,Tax aspects of CCUS,2,2000 words,Pending
